id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,bmi,children,smoker,region,expenses
282,Female,54,1,41,0,1-2 Year,Yes,53581,124,199,1,40.6,3,yes,northeast,48549.18
283,Female,21,1,14,1,< 1 Year,No,36712,152,56,0,27.6,1,no,northeast,4237.13
284,Male,40,1,48,0,> 2 Years,Yes,2630,26,86,0,32.4,1,no,northeast,11879.1
285,Male,36,1,28,0,1-2 Year,Yes,34165,124,143,0,31.2,0,no,southwest,9625.92
286,Male,42,1,15,0,1-2 Year,Yes,28883,26,66,0,26.6,1,no,southeast,7742.11
287,Male,24,1,10,1,< 1 Year,No,35443,152,45,0,48.1,2,no,northeast,9432.93
288,Male,39,1,28,0,1-2 Year,Yes,32807,157,186,0,26.2,0,no,northwest,14256.19
289,Male,26,1,10,0,< 1 Year,Yes,24115,152,69,0,36.8,1,yes,northeast,47896.79
290,Male,64,1,8,0,1-2 Year,Yes,2630,124,293,0,26.4,3,no,southeast,25992.82
291,Female,25,1,47,1,< 1 Year,No,2630,160,299,0,33.4,0,no,southwest,3172.02
292,Female,22,1,13,1,< 1 Year,No,37093,152,66,0,29.6,1,no,northeast,20277.81
293,Female,43,1,3,0,1-2 Year,Yes,31020,26,59,1,45.5,2,yes,southeast,42112.24
294,Female,28,1,6,1,< 1 Year,No,18683,152,215,0,28.8,0,no,southeast,2156.75
295,Male,22,1,13,1,< 1 Year,No,33413,152,104,0,26.8,3,no,southwest,3906.13
296,Female,26,1,16,0,< 1 Year,Yes,32232,152,238,0,23,0,no,northeast,1704.57
297,Female,22,1,46,0,< 1 Year,Yes,31180,152,120,0,27.7,0,yes,southwest,16297.85
298,Male,60,1,8,0,1-2 Year,Yes,2630,124,21,0,25.4,1,yes,southeast,21978.68
299,Female,49,1,31,0,1-2 Year,Yes,2630,124,32,1,34.4,3,yes,northwest,38746.36
300,Male,22,1,21,1,< 1 Year,No,30893,152,29,0,28.9,1,no,northwest,9249.5
301,Male,21,1,29,1,< 1 Year,No,43798,152,258,0,27.6,3,no,northeast,6746.74
302,Male,67,1,28,0,1-2 Year,Yes,32653,124,171,0,22.6,3,yes,northeast,24873.38
303,Female,35,1,28,0,1-2 Year,Yes,41662,150,223,0,37.5,2,no,southeast,12265.51
304,Female,24,1,33,1,< 1 Year,No,20513,152,270,0,33,2,no,southeast,4349.46
305,Male,24,1,11,1,< 1 Year,No,27771,152,233,0,38,2,no,southwest,12646.21
306,Male,24,1,15,1,< 1 Year,No,23267,152,143,0,33.3,2,no,northwest,19442.35
307,Female,28,1,41,1,< 1 Year,No,37948,152,211,0,27.5,2,no,southwest,20177.67
308,Female,24,1,30,1,< 1 Year,No,24414,152,149,0,33.3,1,no,southeast,4151.03
309,Male,71,1,28,0,1-2 Year,Yes,42881,124,105,0,34.9,0,no,northeast,11944.59
310,Male,26,1,35,1,< 1 Year,No,51047,152,165,0,33.1,2,no,northwest,7749.16
311,Female,45,1,28,0,> 2 Years,Yes,73929,157,86,0,26.6,0,no,southwest,8444.47
312,Female,59,1,39,0,1-2 Year,Yes,44630,124,200,0,24.7,0,no,southwest,1737.38
313,Female,26,1,28,1,< 1 Year,No,44082,152,197,0,36,3,yes,southeast,42124.52
314,Female,24,1,46,1,< 1 Year,No,21006,152,11,0,35.9,0,no,southeast,8124.41
315,Male,42,1,8,0,1-2 Year,Yes,35600,124,213,0,31.4,0,yes,southwest,34838.87
316,Male,20,1,12,0,< 1 Year,Yes,82705,160,49,0,33.3,0,no,northeast,9722.77
317,Male,54,1,6,1,1-2 Year,No,24515,124,93,0,32.2,0,no,northwest,8835.26
318,Male,48,1,8,1,1-2 Year,No,41483,124,113,0,32.8,0,no,northeast,10435.07
319,Male,59,1,41,0,1-2 Year,Yes,2630,156,88,0,27.6,0,no,northwest,7421.19
320,Male,43,1,5,1,1-2 Year,Yes,2630,124,178,0,37.3,1,no,northeast,4667.61
321,Female,40,1,29,0,1-2 Year,Yes,2630,157,77,0,25.3,1,no,northwest,4894.75
322,Male,77,1,50,1,1-2 Year,No,42327,124,10,0,29.6,4,no,northeast,24671.66
323,Female,22,1,28,0,< 1 Year,Yes,48276,152,290,0,30.8,0,yes,southwest,35491.64
324,Female,35,1,28,0,1-2 Year,Yes,41029,125,94,0,40.9,0,no,northeast,11566.3
325,Male,24,1,8,1,< 1 Year,No,35981,152,231,0,27.2,0,no,southwest,2866.09
326,Female,24,1,33,1,< 1 Year,No,32219,152,45,0,34.1,1,no,northeast,6600.21
327,Female,26,1,47,1,< 1 Year,No,2630,152,296,0,23.2,1,no,southeast,3561.89
328,Male,26,1,30,1,< 1 Year,No,2630,152,270,0,36.5,2,yes,northwest,42760.5
329,Male,39,1,28,0,1-2 Year,Yes,38036,157,10,0,33.8,1,yes,southwest,47928.03
330,Female,52,1,45,0,1-2 Year,Yes,23918,26,265,0,36.7,0,no,southwest,9144.57
331,Male,20,1,28,1,< 1 Year,No,31367,160,255,0,36.4,1,yes,northeast,48517.56
332,Male,69,1,28,0,1-2 Year,Yes,30727,122,47,0,27.4,0,yes,northwest,24393.62
333,Female,28,1,46,1,< 1 Year,No,41526,160,122,0,31.2,0,no,northwest,13429.04
334,Male,44,1,28,0,1-2 Year,Yes,30427,124,237,1,28.8,0,no,northeast,11658.38
335,Female,22,1,8,1,< 1 Year,No,48773,152,217,0,35.7,2,no,northeast,19144.58
336,Male,20,1,29,1,1-2 Year,No,2630,157,271,0,34.5,0,no,southwest,13822.8
337,Male,21,1,8,1,< 1 Year,No,27076,160,278,0,25.7,0,no,southeast,12142.58
338,Male,23,1,18,1,< 1 Year,No,35970,26,16,0,27.6,1,no,northwest,13937.67
339,Male,36,1,8,0,1-2 Year,Yes,30941,26,249,0,32.3,1,yes,northeast,41919.1
340,Female,69,1,28,0,1-2 Year,Yes,32400,26,189,1,27.7,1,no,southeast,8232.64
341,Male,27,1,15,0,< 1 Year,Yes,33845,152,260,0,27.6,0,no,southwest,18955.22
342,Male,47,1,41,1,1-2 Year,No,36809,26,226,0,30,0,no,northwest,13352.1
343,Female,49,1,28,0,1-2 Year,Yes,48505,124,271,0,27.6,0,no,northeast,13217.09
344,Male,25,1,25,1,< 1 Year,No,32856,152,275,0,36.8,0,no,northeast,13981.85
345,Female,21,1,29,1,< 1 Year,No,29166,152,278,0,41.5,4,no,southeast,10977.21
346,Male,42,1,38,0,1-2 Year,Yes,34193,156,116,1,29.3,3,no,southeast,6184.3
347,Male,22,1,37,0,< 1 Year,Yes,38240,152,221,1,35.8,2,no,southeast,4890
348,Female,42,1,28,0,1-2 Year,Yes,39977,124,276,0,33.3,1,no,northeast,8334.46
349,Female,31,1,28,0,1-2 Year,Yes,39423,124,190,0,29.9,1,no,southeast,5478.04
350,Female,60,1,36,1,1-2 Year,Yes,36638,124,33,0,27.8,0,no,northwest,1635.73
351,Male,46,1,29,0,1-2 Year,Yes,28946,124,64,0,23.2,0,no,northwest,11830.61
352,Female,23,1,46,1,< 1 Year,No,2630,152,88,0,25.6,0,no,southwest,8932.08
353,Female,22,1,30,1,< 1 Year,No,18202,152,107,0,27.7,0,no,southwest,3554.2
354,Male,20,1,8,1,< 1 Year,No,38076,160,79,0,35.2,0,no,northeast,12404.88
355,Male,57,1,28,0,1-2 Year,Yes,19618,122,96,1,38.3,0,no,southeast,14133.04
356,Female,29,1,28,1,< 1 Year,No,27715,152,93,0,27.6,0,no,southwest,24603.05
357,Male,22,1,46,1,< 1 Year,Yes,28311,152,240,0,43.9,3,no,southeast,8944.12
358,Female,22,1,36,0,< 1 Year,Yes,2630,152,211,0,29.8,3,no,northwest,9620.33
359,Male,43,1,28,0,1-2 Year,Yes,39495,124,172,1,41.9,0,no,southeast,1837.28
360,Male,54,1,15,0,1-2 Year,Yes,35116,124,171,1,20.8,0,no,southeast,1607.51
361,Male,44,1,28,0,1-2 Year,Yes,39450,124,214,0,32.3,2,no,northeast,10043.25
362,Female,23,1,8,1,< 1 Year,No,42644,152,257,0,30.5,1,no,southwest,4751.07
363,Female,50,1,28,0,1-2 Year,Yes,68147,30,218,0,21.7,0,yes,southwest,13844.51
364,Male,50,1,28,1,1-2 Year,No,42024,122,224,0,26.4,1,no,southwest,2597.78
365,Female,44,1,41,0,1-2 Year,Yes,30875,124,173,0,21.9,2,no,southeast,3180.51
366,Male,22,1,46,1,< 1 Year,No,25037,152,220,0,30.8,1,no,northeast,9778.35
367,Male,31,1,24,0,1-2 Year,Yes,2630,156,257,0,32.3,3,no,northeast,13430.27
368,Female,20,1,12,0,< 1 Year,Yes,2630,160,203,0,25,2,no,northwest,8017.06
369,Male,52,1,30,1,< 1 Year,No,2630,1,152,0,32,2,no,northwest,8116.27
370,Male,58,1,28,1,1-2 Year,No,44522,23,94,0,30.4,3,no,northeast,3481.87
371,Male,59,1,49,0,1-2 Year,Yes,39971,124,143,0,21.1,0,no,northwest,13415.04
372,Female,25,1,8,1,< 1 Year,No,42307,152,213,0,22.2,0,no,northeast,12029.29
373,Male,45,1,28,0,> 2 Years,Yes,49145,122,222,1,33.2,1,no,northeast,7639.42
374,Male,44,1,46,1,1-2 Year,No,50696,26,193,0,32.9,2,yes,southwest,36085.22
375,Female,38,1,29,0,1-2 Year,Yes,47639,122,169,0,33.3,0,no,southeast,1391.53
376,Male,38,1,28,0,1-2 Year,Yes,65212,124,32,0,28.3,0,yes,northwest,18033.97
377,Male,23,1,27,1,< 1 Year,No,26287,160,199,0,24.9,3,yes,northeast,21659.93
378,Female,78,1,46,1,1-2 Year,No,31616,11,185,0,40.2,0,yes,southeast,38126.25
379,Male,20,1,35,1,< 1 Year,No,2630,160,81,0,30.1,3,no,northwest,16455.71
380,Male,25,1,11,0,< 1 Year,No,38081,152,132,0,31.5,1,no,southeast,27000.98
381,Male,47,1,28,1,1-2 Year,No,31269,124,213,0,18,2,yes,northeast,15006.58
382,Male,66,1,31,0,> 2 Years,Yes,2630,26,90,0,30.7,0,yes,northeast,42303.69
383,Female,55,1,28,0,> 2 Years,Yes,49146,26,190,1,33,0,no,southeast,20781.49
384,Female,24,1,8,0,< 1 Year,Yes,54408,152,86,0,43.3,2,no,southeast,5846.92
385,Male,26,1,8,1,< 1 Year,No,54203,152,81,0,22.1,2,no,northeast,8302.54
386,Female,22,1,28,1,< 1 Year,No,38452,26,51,0,34.4,0,no,southwest,1261.86
387,Female,34,1,28,0,1-2 Year,No,46685,124,205,0,39.1,0,no,southeast,11856.41
388,Male,66,1,28,0,1-2 Year,No,42644,122,80,0,25.4,2,no,northwest,30284.64
389,Female,44,1,28,0,1-2 Year,Yes,45485,122,245,0,22.6,0,no,northwest,3176.82
390,Male,21,1,13,0,< 1 Year,Yes,28733,152,70,0,30.2,3,no,northwest,4618.08
391,Male,20,1,46,0,< 1 Year,Yes,49211,160,284,0,35.6,4,no,northeast,10736.87
392,Male,22,1,50,1,< 1 Year,No,36287,152,70,0,37.4,0,no,northwest,2138.07
393,Female,25,1,37,0,< 1 Year,Yes,2630,152,249,0,31.4,1,no,northeast,8964.06
394,Female,49,1,29,0,1-2 Year,No,2630,156,265,0,31.4,1,no,northeast,9290.14
395,Male,50,1,31,0,1-2 Year,Yes,2630,124,237,0,32.3,2,no,northeast,9411.01
396,Male,75,1,8,1,1-2 Year,No,2630,26,11,0,19.9,0,no,northwest,7526.71
397,Male,31,1,28,0,< 1 Year,Yes,32883,26,132,0,34.4,3,no,southwest,8522
398,Male,21,1,28,0,< 1 Year,No,2630,152,186,0,31,0,no,southeast,16586.5
399,Female,47,1,15,0,1-2 Year,Yes,2630,14,166,0,25.6,2,no,southwest,14988.43
400,Male,59,1,28,0,1-2 Year,Yes,44233,124,160,1,38.2,0,no,southeast,1631.67
401,Male,23,1,47,0,< 1 Year,Yes,25080,152,277,1,20.6,0,no,southwest,9264.8
402,Male,65,1,28,0,1-2 Year,Yes,90789,26,186,1,47.5,1,no,southeast,8083.92
403,Female,27,1,33,0,< 1 Year,Yes,2630,152,125,0,33,0,no,northwest,14692.67
404,Male,49,1,28,0,1-2 Year,Yes,37214,26,158,1,32.3,3,no,northwest,10269.46
405,Male,51,1,28,0,1-2 Year,Yes,37690,26,34,0,20.4,0,no,southwest,3260.2
406,Female,66,1,47,0,1-2 Year,Yes,34757,26,92,0,38.4,2,no,northeast,11396.9
407,Male,45,1,28,0,1-2 Year,No,42620,124,245,0,24.3,0,no,southeast,4185.1
408,Female,45,1,35,1,1-2 Year,No,2630,26,200,0,23.6,1,no,southwest,8539.67
409,Female,68,1,30,1,1-2 Year,No,2630,160,218,0,21.1,3,no,southeast,6652.53
410,Male,47,1,28,0,> 2 Years,Yes,33145,124,237,0,30,1,no,southeast,4074.45
411,Male,28,1,6,0,1-2 Year,Yes,31181,124,282,0,17.5,0,no,northwest,1621.34
412,Female,25,1,40,0,< 1 Year,Yes,39361,152,104,0,20.2,1,yes,northeast,19594.81
413,Female,51,1,28,0,> 2 Years,Yes,33632,124,137,0,17.2,2,yes,northeast,14455.64
414,Female,24,1,6,1,< 1 Year,No,29371,152,168,0,23.9,5,no,southwest,5080.1
415,Female,25,1,43,1,< 1 Year,No,27080,160,177,0,35.2,0,no,northwest,2134.9
416,Female,24,1,43,0,< 1 Year,Yes,29981,152,185,0,35.6,1,no,southeast,7345.73
417,Male,41,1,21,0,1-2 Year,Yes,29440,157,87,1,34.1,0,no,southeast,9140.95
418,Male,29,1,46,0,< 1 Year,Yes,2630,152,118,0,22.6,2,yes,southwest,18608.26
419,Female,22,1,46,1,< 1 Year,No,31506,160,113,0,39.2,1,no,southeast,14418.28
420,Female,38,1,38,1,1-2 Year,No,37379,124,158,0,27,0,yes,northwest,28950.47
421,Female,26,1,8,1,< 1 Year,No,22650,152,181,0,33.9,0,yes,southeast,46889.26
422,Male,23,1,6,1,< 1 Year,No,24308,152,256,0,35.9,0,yes,southeast,46599.11
423,Female,36,1,46,0,< 1 Year,Yes,2630,1,94,0,32.8,1,yes,northeast,39125.33
424,Female,37,1,28,0,1-2 Year,Yes,20267,152,88,0,30.6,0,no,northeast,2727.4
425,Female,21,1,8,1,< 1 Year,Yes,46704,152,99,0,30.2,2,no,southwest,8968.33
426,Female,24,1,13,0,< 1 Year,Yes,2630,151,19,0,24.3,5,no,southeast,9788.87
427,Male,22,1,46,1,< 1 Year,No,23810,152,220,0,27.3,1,no,northeast,6555.07
428,Male,54,1,28,1,1-2 Year,No,34431,124,288,0,29.2,0,no,northeast,7323.73
429,Female,21,1,34,0,1-2 Year,Yes,36314,163,86,1,16.8,1,no,northeast,3167.46
430,Female,44,1,28,0,1-2 Year,Yes,119735,152,295,0,30.4,3,no,northwest,18804.75
431,Male,48,1,8,0,1-2 Year,Yes,42100,124,247,1,33.1,0,no,southwest,23082.96
432,Male,42,1,11,0,1-2 Year,Yes,40473,124,46,0,20.2,2,no,northwest,4906.41
433,Female,45,1,28,0,1-2 Year,Yes,27616,26,134,0,26.9,0,no,southwest,5969.72
434,Male,25,1,16,1,< 1 Year,No,2630,152,178,0,30.5,0,no,southwest,12638.2
435,Male,76,1,15,1,1-2 Year,No,39952,14,126,0,28.6,1,no,northwest,4243.59
436,Male,64,1,28,0,1-2 Year,Yes,42417,60,116,0,33.1,3,no,southeast,13919.82
437,Male,29,1,8,0,< 1 Year,Yes,42992,124,241,0,31.7,0,no,northeast,2254.8
438,Female,28,1,14,1,< 1 Year,No,27555,152,258,0,28.9,3,no,southwest,5926.85
439,Female,24,1,46,1,< 1 Year,No,25784,152,128,0,46.8,5,no,southeast,12592.53
440,Female,49,1,8,0,1-2 Year,Yes,38022,124,197,0,29.5,0,no,northeast,2897.32
441,Male,53,1,39,0,1-2 Year,Yes,2630,157,83,0,32.7,1,no,northwest,4738.27
442,Female,67,1,29,0,1-2 Year,Yes,43753,124,30,1,33.5,0,yes,southwest,37079.37
443,Male,54,1,33,0,1-2 Year,Yes,39396,124,295,0,43,0,no,southeast,1149.4
444,Female,25,1,23,1,< 1 Year,No,2630,152,228,0,36.5,1,no,southeast,28287.9
445,Female,21,1,30,1,< 1 Year,No,24030,152,82,0,26.7,1,yes,northwest,26109.33
446,Female,39,1,28,0,1-2 Year,Yes,33016,124,74,0,33.1,0,no,southwest,7345.08
447,Male,54,1,35,0,1-2 Year,Yes,26629,26,113,1,29.6,0,no,northeast,12731
448,Female,24,1,32,0,< 1 Year,Yes,2630,152,107,0,25.7,0,no,northwest,11454.02
449,Female,23,1,2,1,< 1 Year,No,24881,152,247,0,29.6,0,no,southwest,5910.94
450,Male,33,1,15,1,< 1 Year,No,2630,152,190,0,38.6,1,no,southwest,4762.33
451,Female,23,1,37,0,< 1 Year,Yes,21214,152,126,1,29.6,4,no,southwest,7512.27
452,Female,23,1,21,0,< 1 Year,Yes,24388,152,270,0,24.1,1,no,northwest,4032.24
453,Male,47,1,46,1,1-2 Year,No,2630,21,270,0,23.4,0,no,southwest,1969.61
454,Male,63,1,28,0,1-2 Year,Yes,44879,124,85,0,29.7,0,no,northwest,1769.53
455,Female,27,1,10,0,< 1 Year,Yes,24453,152,152,0,46.5,2,no,southeast,4686.39
456,Male,49,1,8,0,1-2 Year,Yes,41648,124,98,0,37.4,0,no,southwest,21797
457,Male,29,1,28,0,< 1 Year,Yes,40186,160,227,0,30.1,2,no,southeast,11881.97
458,Male,46,1,33,0,1-2 Year,Yes,30866,124,77,0,30.5,0,no,northwest,11840.78
459,Male,33,1,11,1,< 1 Year,No,35263,152,271,0,39.6,0,no,southwest,10601.41
460,Male,40,1,8,1,1-2 Year,No,31839,152,165,0,33,3,no,southeast,7682.67
461,Female,30,1,49,0,< 1 Year,Yes,27967,152,270,0,36.6,3,no,southeast,10381.48
462,Male,52,1,28,0,1-2 Year,Yes,46090,124,217,1,30,0,yes,southwest,22144.03
463,Male,23,1,35,1,< 1 Year,No,27968,152,128,0,38.1,2,no,northeast,15230.32
464,Male,70,1,28,0,> 2 Years,Yes,51565,122,115,0,25.9,0,no,northeast,11165.42
465,Male,24,1,2,0,< 1 Year,Yes,26707,152,224,0,25.2,0,no,northwest,1632.04
466,Male,42,1,33,0,> 2 Years,Yes,35187,124,107,0,28.4,1,yes,southeast,19521.97
467,Male,70,1,8,0,1-2 Year,Yes,46177,26,249,0,28.7,1,no,southwest,13224.69
468,Female,22,1,46,0,< 1 Year,Yes,26118,152,46,0,33.8,2,no,northwest,12643.38
469,Male,70,1,7,1,1-2 Year,No,65479,124,213,0,24.3,1,no,northeast,23288.93
470,Female,23,1,28,1,< 1 Year,No,38010,152,177,0,24.1,1,no,southeast,2201.1
471,Female,74,1,28,0,> 2 Years,Yes,30128,26,164,1,32.7,0,no,southeast,2497.04
472,Female,22,1,43,0,1-2 Year,Yes,42589,157,236,0,30.1,0,no,northeast,2203.47
473,Female,66,1,28,0,1-2 Year,Yes,30967,26,64,0,29.8,0,no,southwest,1744.47
474,Female,24,1,8,0,< 1 Year,Yes,42636,152,155,0,33.3,0,no,northeast,20878.78
475,Male,40,1,28,0,1-2 Year,Yes,37142,124,286,0,25.1,3,yes,southwest,25382.3
476,Male,59,1,8,1,1-2 Year,No,34424,26,134,0,28.3,1,yes,northwest,28868.66
477,Female,23,1,27,0,< 1 Year,Yes,27827,151,19,0,28.5,0,yes,northeast,35147.53
478,Male,45,1,46,0,1-2 Year,Yes,37726,26,186,0,35.6,0,no,northwest,2534.39
479,Female,22,1,44,1,< 1 Year,No,37232,152,177,0,36.9,0,no,southeast,1534.3
480,Male,30,1,28,0,< 1 Year,Yes,51429,121,119,1,32.6,0,no,southeast,1824.29
481,Male,73,1,29,0,> 2 Years,Yes,104002,3,132,0,41.3,3,no,northwest,15555.19
482,Female,33,1,7,0,1-2 Year,No,2630,26,103,0,37.5,2,no,southeast,9304.7
483,Female,25,1,2,1,< 1 Year,No,28342,152,113,0,31.4,0,no,southeast,1622.19
484,Female,44,1,28,0,1-2 Year,Yes,52593,26,30,1,39.5,1,no,southwest,9880.07
485,Female,36,1,8,0,1-2 Year,Yes,63198,26,244,1,34.3,3,no,southwest,9563.03
486,Male,69,1,46,1,1-2 Year,No,44679,26,293,0,31.1,0,no,northeast,4347.02
487,Male,79,1,45,0,1-2 Year,Yes,21882,124,78,0,21.5,3,no,northwest,12475.35
488,Female,24,1,28,1,< 1 Year,No,28036,152,108,0,28.7,0,no,southwest,1253.94
489,Male,72,1,8,1,1-2 Year,No,36462,26,61,0,38.1,0,yes,southeast,48885.14
490,Female,39,1,28,0,1-2 Year,Yes,45387,154,59,1,31.2,1,no,northwest,10461.98
491,Female,62,1,28,0,1-2 Year,Yes,31026,124,105,0,32.9,0,no,southwest,1748.77
492,Male,43,1,18,0,1-2 Year,Yes,39225,124,268,0,25.1,0,no,southeast,24513.09
493,Male,29,1,37,0,1-2 Year,Yes,2630,154,66,0,25.1,0,no,northeast,2196.47
494,Female,20,1,28,1,< 1 Year,Yes,2630,160,120,0,43.4,0,no,southwest,12574.05
495,Female,27,1,46,1,< 1 Year,No,28640,152,93,0,25.7,4,yes,southwest,17942.11
496,Male,20,1,8,0,< 1 Year,Yes,40115,160,292,0,27.9,0,no,northeast,1967.02
497,Male,22,1,35,0,< 1 Year,Yes,30083,152,84,0,23.6,2,no,southwest,4931.65
498,Male,56,1,28,0,1-2 Year,Yes,32018,26,183,0,28.7,2,no,southwest,8027.97
499,Female,28,1,50,1,< 1 Year,No,26788,152,221,0,24,2,no,southeast,8211.1
500,Male,20,1,36,1,< 1 Year,No,27397,152,13,0,39.2,0,no,southwest,13470.86
501,Male,23,1,21,0,< 1 Year,Yes,33870,152,258,0,34.4,0,yes,southwest,36197.7
502,Female,31,1,15,1,< 1 Year,No,33444,152,233,0,26,0,no,northeast,6837.37
503,Female,31,1,15,1,< 1 Year,No,40315,152,103,0,23.2,1,yes,southeast,22218.11
504,Female,51,1,28,0,1-2 Year,Yes,39214,26,15,0,30.3,0,yes,southeast,32548.34
505,Female,23,1,37,1,< 1 Year,No,41919,152,288,0,28.9,1,no,southeast,5974.38
506,Male,37,1,28,0,1-2 Year,Yes,42207,124,135,1,30.9,3,no,northwest,6796.86
507,Female,25,1,28,0,< 1 Year,Yes,92716,152,247,0,31.4,1,no,northwest,2643.27
508,Female,25,1,28,1,< 1 Year,No,74371,152,295,0,23.8,2,no,northwest,3077.1
509,Female,22,1,28,1,< 1 Year,No,58936,152,274,0,25.3,0,no,northeast,3044.21
510,Female,31,1,18,1,< 1 Year,No,44945,152,201,0,28.7,0,no,southwest,11455.28
511,Female,22,1,46,1,< 1 Year,No,36430,152,241,0,32.1,1,no,northeast,11763
512,Male,29,1,7,1,< 1 Year,No,2630,152,59,0,33.7,0,no,southeast,2498.41
513,Female,38,1,45,0,1-2 Year,Yes,2630,156,253,0,22.4,0,no,northeast,9361.33
514,Female,26,1,15,1,< 1 Year,No,32553,152,97,0,30.4,0,no,southwest,1256.3
515,Female,22,1,37,0,< 1 Year,Yes,32093,152,113,1,28.3,1,yes,southwest,21082.16
516,Female,70,1,28,0,1-2 Year,Yes,37783,139,102,0,35.7,0,no,southwest,11362.76
517,Male,58,1,28,0,1-2 Year,Yes,41394,124,22,0,35.3,1,no,southeast,27724.29
518,Male,52,1,12,0,1-2 Year,Yes,29442,124,264,0,30.5,2,no,northwest,8413.46
519,Male,49,1,28,0,1-2 Year,Yes,31733,26,265,0,31,1,no,southwest,5240.77
520,Female,24,1,30,0,< 1 Year,No,39055,152,127,0,30.9,0,no,northeast,3857.76
521,Female,24,1,30,1,< 1 Year,No,28829,152,173,0,27.4,0,no,northeast,25656.58
522,Female,76,1,8,0,1-2 Year,Yes,38546,163,92,0,44.2,0,no,southeast,3994.18
523,Female,22,1,3,0,< 1 Year,Yes,23309,160,202,0,33.9,0,no,northeast,9866.3
524,Female,23,1,43,1,< 1 Year,No,25272,152,25,0,37.7,0,no,southeast,5397.62
525,Male,24,1,8,1,< 1 Year,No,60219,151,233,0,26.1,1,yes,southeast,38245.59
526,Female,25,1,47,0,< 1 Year,Yes,40374,152,246,0,33.9,0,no,southeast,11482.63
527,Male,33,1,46,1,1-2 Year,No,27599,124,10,0,30.6,2,no,northwest,24059.68
528,Male,51,1,18,1,1-2 Year,No,2630,26,88,0,25.8,1,no,southwest,9861.03
529,Female,48,1,27,0,1-2 Year,Yes,34900,124,153,0,39.4,1,no,northeast,8342.91
530,Male,38,1,48,0,1-2 Year,Yes,2630,124,67,0,25.5,0,no,northeast,1708
531,Female,21,1,7,1,< 1 Year,No,2630,152,74,0,42.1,1,yes,southeast,48675.52
532,Male,36,1,9,1,1-2 Year,No,41410,152,174,0,31.7,0,no,northeast,14043.48
533,Female,22,1,28,1,< 1 Year,No,24980,152,181,0,29.7,2,no,southeast,12925.89
534,Male,53,1,28,1,1-2 Year,Yes,36544,26,182,0,36.2,0,no,southeast,19214.71
535,Male,45,1,46,1,1-2 Year,No,2630,26,271,0,40.5,0,no,southeast,13831.12
536,Male,24,1,15,1,< 1 Year,No,23479,151,259,0,28,1,no,northeast,6067.13
537,Male,46,1,11,1,1-2 Year,No,36581,152,115,0,38.9,3,no,southwest,5972.38
538,Female,57,1,41,1,1-2 Year,No,24564,152,220,0,30.2,2,no,southwest,8825.09
539,Male,41,1,28,0,1-2 Year,Yes,44898,124,154,0,28.1,1,no,southeast,8233.1
540,Male,45,1,28,0,1-2 Year,Yes,2630,26,204,1,31.4,0,no,southeast,27346.04
541,Male,47,1,31,0,1-2 Year,Yes,2630,124,80,0,38,3,no,southwest,6196.45
542,Male,51,1,41,0,> 2 Years,Yes,31443,12,82,0,31.8,2,no,southeast,3056.39
543,Female,24,1,15,0,< 1 Year,Yes,2630,152,48,0,36.3,0,no,southeast,13887.2
544,Male,57,1,28,0,1-2 Year,Yes,24552,26,122,1,47.4,0,yes,southeast,63770.43
545,Female,25,1,8,1,< 1 Year,No,61805,152,58,0,30.2,0,no,northwest,10231.5
546,Male,46,1,8,1,1-2 Year,No,34727,124,229,0,25.8,2,yes,northwest,23807.24
547,Male,38,1,28,0,1-2 Year,Yes,46272,124,203,1,35.4,0,no,northeast,3268.85
548,Female,48,1,28,0,1-2 Year,Yes,47104,26,166,0,46.7,2,no,southwest,11538.42
549,Male,22,1,46,1,< 1 Year,No,26647,160,95,0,28.6,0,no,northeast,3213.62
550,Male,27,1,46,1,< 1 Year,No,26312,152,244,0,46.2,0,yes,southeast,45863.21
551,Male,33,1,43,1,1-2 Year,No,2630,26,149,0,30.8,0,no,southwest,13390.56
552,Male,23,1,47,1,< 1 Year,No,35982,152,277,0,28.9,0,no,southeast,3972.92
553,Female,44,1,28,1,1-2 Year,No,34612,26,62,0,21.4,0,no,southwest,12957.12
554,Female,24,1,41,1,< 1 Year,No,29857,152,201,0,31.7,2,no,northwest,11187.66
555,Male,39,1,38,0,1-2 Year,Yes,33149,124,20,0,41.3,0,no,northeast,17878.9
556,Female,21,1,13,1,< 1 Year,No,24731,160,283,0,23.8,2,no,southwest,3847.67
557,Male,25,1,15,1,< 1 Year,No,34661,160,207,0,33.4,1,no,northeast,8334.59
558,Female,51,1,33,0,1-2 Year,Yes,31243,152,39,1,34.2,0,no,southeast,3935.18
559,Female,27,1,28,1,< 1 Year,No,52455,152,21,0,34.1,3,yes,northwest,39983.43
560,Female,42,1,8,0,> 2 Years,Yes,34393,124,209,0,35.5,0,no,northwest,1646.43
561,Female,23,1,44,1,< 1 Year,No,28978,152,242,0,20,2,no,northwest,9193.84
562,Male,36,1,28,1,1-2 Year,No,44579,26,104,0,32.7,0,no,northeast,10923.93
563,Male,50,1,28,0,> 2 Years,Yes,38269,29,244,0,30.5,0,no,southwest,2494.02
564,Male,69,0,33,0,1-2 Year,Yes,39730,26,53,0,44.8,1,no,southeast,9058.73
